ac_number,constituency,region,party,candidate,winner_votes,total_valid_votes,vote_share_2026
1,Gummidipoondi,Chennai Metro,TVK,S.VIJAYAKUMAR,94320,232522,40.56
2,Ponneri,Chennai Metro,TVK,DR.RAVI.M.S,110439,226819,48.69
3,Tiruttani,Chennai Metro,AIADMK,G.HARI,89169,238798,37.34
4,Thiruvallur,Chennai Metro,TVK,DR. T. ARUNKUMAR,92190,226428,40.71
5,Poonamallee,Chennai Metro,TVK,PRAKASAM.R,161309,308894,52.22
6,Avadi,Chennai Metro,TVK,R.RAMESH KUMAR,180384,346005,52.13
7,Maduravoyal,Chennai Metro,TVK,RHEVANTH CHARAN,141725,293692,48.26
8,Ambattur,Chennai Metro,TVK,BALAMURUGAN.G,133339,259986,51.29
9,Madavaram,Chennai Metro,TVK,M.L.VIJAYPRABHU,190462,361998,52.61
10,Thiruvottiyur,Chennai Metro,TVK,SENTHIL KUMAR. N,110067,207088,53.15
11,Dr.Radhakrishnan Nagar,Chennai Metro,TVK,N. MARIE WILSON,97800,181206,53.97
12,Perambur,Chennai Metro,TVK,C. JOSEPH VIJAY,120365,204384,58.89
13,Kolathur,Chennai Metro,TVK,V. S. BABU,82997,184051,45.09
14,Villivakkam,Chennai Metro,TVK,AADHAV ARJUNA,66445,141452,46.97
15,Thiru-Vi-Ka-Nagar,Chennai Metro,TVK,M. R. PALLAVI,69125,143903,48.04
16,Egmore,Chennai Metro,TVK,RAJMOHAN,53901,119738,45.02
17,Royapuram,Chennai Metro,TVK,K.V. VIJAY DAMU,59091,127356,46.4
18,Harbour,Chennai Metro,DMK,P K SEKARBABU,45254,99622,45.43
19,Chepauk-Thiruvallikeni,Chennai Metro,DMK,UDHAYANIDHI STALIN,62992,140741,44.76
20,Thousand Lights,Chennai Metro,TVK,PRABHAKAR.J.C.D,58965,131824,44.73
21,Anna Nagar,Chennai Metro,TVK,V.K.RAMKUMAR,71375,163339,43.7
22,Virugampakkam,Chennai Metro,TVK,SABARINATHAN.R,76092,172831,44.03
23,Saidapet,Chennai Metro,TVK,ARUL PRAKASAM. M,81205,160401,50.63
24,Thiyagarayanagar,Chennai Metro,TVK,ANAND N,51632,133928,38.55
25,Mylapore,Chennai Metro,TVK,VENKATARAMANAN. P,70070,150594,46.53
26,Velachery,Chennai Metro,TVK,KUMAR. R,80430,184815,43.52
27,Shozhinganallur,Chennai Metro,TVK,ECR P SARAVANAN,220382,447295,49.27
28,Alandur,Chennai Metro,TVK,M.HARISH,112205,261570,42.9
29,Sriperumbudur,Chennai Metro,TVK,THENNARASU.K,147611,331088,44.58
30,Pallavaram,Chennai Metro,TVK,J.KAMATCHI,133611,283677,47.1
31,Tambaram,Chennai Metro,TVK,D.SARATHKUMAR,118967,278809,42.67
32,Chengalpattu,Chennai Metro,TVK,S. THIYAGARAJAN,137136,324010,42.32
33,Thiruporur,North,TVK,B.VIJAYARAJ,110095,262409,41.96
34,Cheyyur,North,AIADMK,RAJASEKAR. E,63809,187584,34.02
35,Madurantakam,North,AIADMK,MARAGATHAM KUMARAVEL.K,69284,198251,34.95
36,Uthiramerur,North,TVK,MUNIRATHINAM.J,84917,227765,37.28
37,Kancheepuram,North,TVK,R.V. RANJITHKUMAR,91350,246317,37.09
38,Arakkonam,North,TVK,V. GANDHIRAJ,73776,182340,40.46
39,Sholingur,North,TVK,G.KAPIL,84506,233684,36.16
40,Katpadi,North,TVK,DR M SUDHAKAR,69868,203497,34.33
41,Ranipet,North,TVK,THAHIRA,91149,221038,41.24
42,Arcot,North,AIADMK,S.M.SUKUMAR,105608,225786,46.77
43,Vellore,North,TVK,M.M.VINOTH KANNAN,73032,190527,38.33
44,Anaikattu,North,AIADMK,D.VELAZHAGAN,76302,216318,35.27
45,Kilvaithinankuppam,North,TVK,THENRAL KUMAR. E,74305,189892,39.13
46,Gudiyattam,North,TVK,K.SINDU,82858,229076,36.17
47,Vaniyambadi,North,IUML,SYED FAROOQ BASHA SSB,73181,212534,34.43
48,Ambur,North,DMK,VILWANATHAN. A.C.,74102,195584,37.89
49,Jolarpet,North,AIADMK,VEERAMANI K.C.,78633,213042,36.91
50,Tiruppattur,North,TVK,DR.THIRUPATHI. N,105098,202925,51.79
51,Uthangarai,North,TVK,N ELAIYARAJA,70201,205530,34.16
52,Bargur,North,AIADMK,E.C. GOVINDARASAN,71240,213960,33.3
53,Krishnagiri,North,TVK,MUKUNDHAN.P,89374,230181,38.83
54,Veppanahalli,North,DMK,SRINIVASAN.P.S,74691,222608,33.55
55,Hosur,North,AIADMK,BALAKRISHNAREDDY. P,109867,277770,39.55
56,Thalli,North,CPI,RAMACHANDRAN. T,78283,205878,38.02
57,Palacodu,North,AIADMK,ANBALAGAN. K.P.,102807,225257,45.64
58,Pennagaram,North,TVK,GAJENDRAN. S.,81240,228666,35.53
59,Dharmapuri,North,PMK,SOWMIYA ANBUMANI,93713,238579,39.28
60,Pappireddipatti,North,AIADMK,MARAGATHAM VETRIVEL,101829,236621,43.03
61,Harur,North,AIADMK,SAMPATHKUMAR. V,75523,220042,34.32
62,Chengam,North,AIADMK,S.VELU,87802,242897,36.15
63,Tiruvannamalai,North,DMK,VELU. E.V,88273,220066,40.11
64,Kilpennathur,North,AIADMK,RAMACHANDRAN.S,90503,219790,41.18
65,Kalasapakkam,North,AIADMK,AGRI KRISHNAMURTHY. S S,89629,214127,41.86
66,Polur,North,TVK,ABISHEK. R,67961,211743,32.1
67,Arani,North,AIADMK,JAYASUDHA. L,76735,230162,33.34
68,Cheyyar,North,AIADMK,MUKKUR N. SUBRAMANIAN,86680,222570,38.95
69,Vandavasi,North,DMK,AMBETHKUMAR. S,63805,191204,33.37
70,Gingee,Central,PMK,GANESHKUMAR A,78201,216652,36.1
71,Mailam,Central,AIADMK,SHANMUGAM C VE,82353,189221,43.52
72,Tindivanam,Central,VCK,VANNI ARASU,63833,196026,32.56
73,Vanur,Central,DMK,GOWTHAM D,68873,192119,35.85
74,Viluppuram,Central,DMK,LAKSHMANAN R,72982,215422,33.88
75,Vikravandi,Central,PMK,SIVAKUMAR C,69727,209231,33.33
76,Tirukkoyilur,Central,AIADMK,PALANISAMY S,73033,217318,33.61
77,Ulundurpettai,Central,DMK,VASANTHAVEL G R,98471,271002,36.34
78,Rishivandiyam,Central,DMK,KARTHIKEYAN K,89711,244795,36.65
79,Sankarapuram,Central,AIADMK,RAKESH R,80250,235528,34.07
80,Kallakurichi,Central,TVK,ARUL VIGNESH C,81132,249626,32.5
81,Gangavalli,Central,AIADMK,NALLATHAMBI. A,73167,196679,37.2
82,Attur,Central,AIADMK,JAYASANKARAN. A.P.,80843,208296,38.81
83,Yercaud,Central,AIADMK,USHARANI. P,87772,253592,34.61
84,Omalur,Central,AIADMK,MANI. R,112246,271119,41.4
85,Mettur,Central,AIADMK,VENKATACHALAM. G,86498,231105,37.43
86,Edappadi,Central,AIADMK,EDAPPADI PALANISWAMI. K,148933,258263,57.67
87,Sankari,Central,AIADMK,VETRIVEL. S,87342,243779,35.83
88,Salem (West),Central,TVK,LAKSHMANAN.S,120407,234407,51.37
89,Salem (North),Central,TVK,SIVAKUMAR. K,85710,210712,40.68
90,Salem (South),Central,TVK,VIJAY TAMILAN PARTHIBAN. A,91371,207902,43.95
91,Veerapandi,Central,TVK,PALANIVEL. M.S,79907,235875,33.88
92,Rasipuram,Central,TVK,LOGESH TAMILSELVAN D,74808,204680,36.55
93,Senthamangalam,Central,TVK,P CHANDRASEKAR,68815,209687,32.82
94,Namakkal,Central,TVK,DILIP C S,79744,212283,37.56
95,Paramathi-Velur,Central,AIADMK,SEKAR S,61349,188845,32.49
96,Tiruchengodu,Central,TVK,ARUNRAJ K G,79500,191122,41.6
97,Kumarapalayam,Central,TVK,C.VIJAYALAKSHMI,81179,205324,39.54
98,Erode (East),Kongu,TVK,M.VIJAY BALAJI,69747,162453,42.93
99,Erode (West),Kongu,TVK,ANANTH MOGHAN K.K.,96836,221400,43.74
100,Modakkurichi,Kongu,TVK,D.SHANMUGAN,60715,190759,31.83
101,Dharapuram,Kongu,AIADMK,SATHYABAMA.P,81100,199944,40.56
102,Kangayam,Kongu,AIADMK,NSN NATARAJ,71122,203534,34.94
103,Perundurai,Kongu,AIADMK,JAYAKUMAR. S,70302,200686,35.03
104,Bhavani,Kongu,AIADMK,KARUPPANAN. K.C,75577,208323,36.28
105,Anthiyur,Kongu,AIADMK,HARIBASKAR.P,60042,185775,32.32
106,Gobichettipalayam,Kongu,TVK,SENGOTTAIYAN.K.A,82612,219727,37.6
107,Bhavanisagar,Kongu,TVK,V.P.TAMILSELVI,72391,214595,33.73
108,Udhagamandalam,Kongu,BJP,BHOJARAJAN.M,48488,148704,32.61
109,Gudalur,Kongu,DMK,DHRAVIDAMANI.M,65590,151241,43.37
110,Coonoor,Kongu,DMK,M. RAJU,50470,141394,35.69
111,Mettuppalayam,Kongu,TVK,SUNILANAND,75664,244319,30.97
112,Avanashi,Kongu,TVK,KAMALI.S,84209,231600,36.36
113,Tiruppur (North),Kongu,TVK,V.SATHYABAMA,131401,263457,49.88
114,Tiruppur (South),Kongu,TVK,BALAMURUGAN. S,73793,179814,41.04
115,Palladam,Kongu,TVK,K.RAMKUMAR,121297,301014,40.3
116,Sulur,Kongu,TVK,NM.SUKUMAR,90531,273544,33.1
117,Kavundampalayam,Kongu,TVK,KANIMOZHI SANTHOSH,146466,363991,40.24
118,Coimbatore (North),Kongu,TVK,V. SAMPATHKUMAR,92500,226109,40.91
119,Thondamuthur,Kongu,AIADMK,S.P.VELUMANI,93316,258549,36.09
120,Coimbatore (South),Kongu,DMK,V SENTHILBALAJI,59724,156499,38.16
121,Singanallur,Kongu,TVK,K.S.SRI GIRI PRASATH,84163,221033,38.08
122,Kinathukadavu,Kongu,TVK,VIGNESH K,99950,267917,37.31
123,Pollachi,Kongu,DMK,K. NITHYANANDHAN,62013,181196,34.22
124,Valparai,Kongu,DMK,KUTTY (ALIAS) SUDHAKAR. A,54671,150431,36.34
125,Udumalaipettai,Kongu,DMK,JAYAKUMAR M.,68549,203575,33.67
126,Madathukulam,Kongu,DMK,R JAYARAMAKRISHNAN,70458,188249,37.43
127,Palani,South,AIADMK,RAVIMANOHARAN. K,66986,208619,32.11
128,Oddanchatram,South,DMK,SAKKARAPANI. R,93099,201624,46.17
129,Athoor,South,DMK,I. PERIASAMY,106240,237183,44.79
130,Nilakkottai,South,TVK,AYYANAR.R,68580,197593,34.71
131,Natham,South,AIADMK,NATHAM VISWANATHAN R,85708,239140,35.84
132,Dindigul,South,DMK,SENTHILKUMAR. I.P,74489,212024,35.13
133,Vedasandur,South,DMK,SAMINATHAN. T,84948,226554,37.5
134,Aravakurichi,Kongu,DMK,ELANGO. R,70827,181078,39.11
135,Karur,Kongu,AIADMK,M.R. VIJAYABHASKAR,71542,216829,32.99
136,Krishnarayapuram,Kongu,TVK,SATHYA. M,62378,189357,32.94
137,Kulithalai,Kongu,DMK,SURIYANUR. A. CHANDRAN,68138,209091,32.59
138,Manapparai,Delta,TVK,R. KATHIRAVAN,83041,241216,34.43
139,Srirangam,Delta,TVK,RAMESH,103235,254985,40.49
140,Tiruchirappalli (West),Delta,DMK,K.N.NEHRU,88235,196347,44.94
141,Tiruchirappalli (East),Delta,TVK,C. JOSEPH VIJAY,91381,182493,50.07
142,Thiruverumbur,Delta,TVK,VIJAYAKUMAR (A) NAVALPATTU S. VIJI,89837,213583,42.06
143,Lalgudi,Delta,AIADMK,LEEMAROSE MARTIN,60795,185213,32.82
144,Manachanallur,Delta,DMK,KATHIRAVAN. S,81447,209780,38.82
145,Musiri,Delta,TVK,M.VIGNESH,71281,189141,37.69
146,Thuraiyur,Delta,TVK,RAVISANKAR.M,66263,184426,35.93
147,Perambalur,Central,TVK,SIVAKUMAR. K,90882,253654,35.83
148,Kunnam,Central,DMK,SIVASANKAR. S.S,87237,230570,37.84
149,Ariyalur,Central,AIADMK,RAJENDRAN S,95219,235858,40.37
150,Jayankondam,Central,PMK,VAITHILINGAM G.,88992,228548,38.94
151,Tittakudi,Central,DMK,GANESAN C.V,63106,175754,35.91
152,Vriddhachalam,Central,DMDK,PREMALLATHA VIJAYAKANT,69351,209186,33.15
153,Neyveli,Central,AIADMK,RAJENDRAN.R,63731,168780,37.76
154,Panruti,Central,AIADMK,MOHAN. K,78398,210767,37.2
155,Cuddalore,Central,TVK,B.RAJKUMAR,70856,190378,37.22
156,Kurinjipadi,Central,DMK,M.R.K.PANNEERSELVAM,76695,213965,35.84
157,Bhuvanagiri,Central,AIADMK,ARUNMOZHITHEVAN . A,75707,207310,36.52
158,Chidambaram,Central,DMK,THAMIMUN ANSARI. M,69739,196586,35.48
159,Kattumannarkoil,Central,VCK,L.E. JOTHIMANI,85179,187905,45.33
160,Sirkazhi,Delta,DMK,SENTHILSELVAN.R,71449,200448,35.64
161,Mayiladuthurai,Delta,INC,JAMAL MOHAMED YOUNOOS. Y.N,68011,188461,36.09
162,Poompuhar,Delta,DMK,NIVEDHA M MURUGAN,81096,219324,36.98
163,Nagapattinam,Delta,DMK,M.H.JAWAHIRULLAH,56305,151326,37.21
164,Kilvelur,Delta,CPI(M),LATHA. T,56108,151637,37.0
165,Vedaranyam,Delta,AIADMK,MANIAN. O.S,59172,162216,36.48
166,Thiruthuraipoondi,Delta,CPI,MARIMUTHU.K,74062,191030,38.77
167,Mannargudi,Delta,AMMK,KAMARAJ. S,68416,194100,35.25
168,Thiruvarur,Delta,DMK,KALAIVANAN POONDI  K,93408,217875,42.87
169,Nannilam,Delta,AIADMK,KAMARAJ. R,103462,231444,44.7
170,Thiruvidaimarudur,Delta,DMK,GOVI.CHEZHIAAN,79951,208944,38.26
171,Kumbakonam,Delta,TVK,VINOTH,78650,208288,37.76
172,Papanasam,Delta,IUML,A.M. SHAHJAHAN,69284,207723,33.35
173,Thiruvaiyaru,Delta,DMK,DURAI. CHANDRASEKARAN,80425,222111,36.21
174,Thanjavur,Delta,TVK,R. VIJAYSARAVANAN,87705,198798,44.12
175,Orathanadu,Delta,DMK,R. VAITHILINGAM,86759,195304,44.42
176,Pattukkottai,Delta,DMK,ANNADURAI K,65963,183745,35.9
177,Peravurani,Delta,DMK,ASHOKKUMAR. N,60919,176274,34.56
178,Gandharvakottai,Delta,TVK,N. SUBRAMANIAN,58795,167618,35.08
179,Viralimalai,Delta,AIADMK,VIJAYABASKAR. C,105773,203921,51.87
180,Pudukkottai,Delta,DMK,V. MUTHURAJA,66825,190378,35.1
181,Thirumayam,Delta,DMK,REGUPATHY.S,58201,182612,31.87
182,Alangudi,Delta,DMK,SIVA.V.MEYYANATHAN,64929,180483,35.98
183,Aranthangi,Delta,TVK,MOHAMED FARVAS. J,73244,182730,40.08
184,Karaikudi,South,TVK,DR.PRABHU. TK,101358,229267,44.21
185,Tiruppattur,South,TVK,SEENIVASA SETHUPATHY. R,83375,215710,38.65
186,Sivaganga,South,TVK,KULANTHAI RANI A,73737,214067,34.45
187,Manamadurai,South,TVK,ELANGOVAN.D,69971,208643,33.54
188,Melur,South,INC,P.VISWANATHAN,60080,190726,31.5
189,Madurai East,South,TVK,KARTHIKEYAN S,118777,271566,43.74
190,Sholavandan,South,TVK,KARUPPAIAH.M.V,63907,189080,33.8
191,Madurai North,South,TVK,A.KALLANAI,72853,161801,45.03
192,Madurai South,South,TVK,M.M.GOPISON,62415,141503,44.11
193,Madurai Central,South,TVK,MADHAR BADHURUDEEN,63414,148586,42.68
194,Madurai West,South,TVK,THANGAPANDI SR,88250,216403,40.78
195,Thiruparankundram,South,TVK,NIRMALKUMAR. R.,114316,255466,44.75
196,Thirumangalam,South,DMK,MANIMARAN.M,88291,230980,38.22
197,Usilampatti,South,TVK,VIJAY. M,65743,224048,29.34
198,Andipatti,South,DMK,MAHARAJAN.A,74324,217329,34.2
199,Periyakulam,South,TVK,SABARI IYNGARAN G.,85656,211209,40.56
200,Bodinayakanur,South,DMK,PANNEERSELVAM.O,85206,220628,38.62
201,Cumbum,South,TVK,JEGANATHMISHRA PLA,85394,210574,40.55
202,Rajapalayam,South,TVK,JEGADESHWARI. K,65548,183020,35.81
203,Srivilliputhur,South,TVK,KARTHIK.A,65653,193471,33.93
204,Sattur,South,DMK,KADARKARAIRAJ. A,62060,198734,31.23
205,Sivakasi,South,TVK,KEERTHANA S,68709,193517,35.51
206,Virudhunagar,South,TVK,SELVAM P,63653,167832,37.93
207,Aruppukkottai,South,DMK,RAMACHANDRAN. K.K.S.S.R,65104,178413,36.49
208,Tiruchuli,South,DMK,THANGAM THENARASU,75085,181250,41.43
209,Paramakudi,South,DMK,ADVOCATE. KATHIRAVAN. K.K,59161,189753,31.18
210,Tiruvadanai,South,TVK,RAJEEV,69551,220278,31.57
211,Ramanathapuram,South,DMK,KATHARBATCHA MUTHURAMALINGAM,89137,237576,37.52
212,Mudhukulathur,South,DMK,R.S.RAJAKANNAPPAN,68003,231373,29.39
213,Vilathikulam,South,DMK,MARKANDAYAN G V,58395,174814,33.4
214,Thoothukkudi,South,TVK,SRINATH,100536,204712,49.11
215,Tiruchendur,South,DMK,ANITHA R. RADHAKRISHNAN,72723,186050,39.09
216,Srivaikuntam,South,TVK,SARAVANAN. G,58814,176421,33.34
217,Ottapidaram,South,TVK,P .MATHANRAJA,81625,196117,41.62
218,Kovilpatti,South,DMK,KARUNANITHI.K,61643,194232,31.74
219,Sankarankovil,South,AIADMK,DR. DHILIPAN JAISHANKAR,64865,196480,33.01
220,Vasudevanallur,South,DMK,E. RAJA,63045,189795,33.22
221,Kadayanallur,South,DMK,RAJENDRAN. T. M,79832,221951,35.97
222,Tenkasi,South,DMK,DR.KALAI KATHIRAVAN,79699,234987,33.92
223,Alangulam,South,DMK,PAUL MANOJ PANDIAN,69170,220857,31.32
224,Tirunelveli,South,TVK,MURUGHAN.R.S.,75840,218425,34.72
225,Ambasamudram,South,AIADMK,DR.ESAKKI SUBAYA,65589,191195,34.3
226,Palayamkottai,South,DMK,M.ABDUL WAHAB,79744,180620,44.15
227,Nanguneri,South,TVK,REDDIARPATTI V. NARAYANAN,74952,209419,35.79
228,Radhapuram,South,TVK,DR.SATHISH CHRISTOPHER,69947,199931,34.99
229,Kanniyakumari,South,AIADMK,THALAVAI SUNDARAM. N,75045,239150,31.38
230,Nagercoil,South,DMK,AUSTIN,69880,196280,35.6
231,Colachal,South,INC,THARAHAI CUTHBERT,66207,199013,33.27
232,Padmanabhapuram,South,CPI(M),CHELLASWAMY. R,68938,180555,38.18
233,Vilavancode,South,INC,PRAVEEN T.T,70755,174927,40.45
234,Killiyoor,South,INC,RAJESH KUMAR. S,66434,177534,37.42
