ac_number,constituency,region,district,winning_party_2021,winning_candidate_2021,winning_party_2026,winning_candidate_2026,total_votes_2021,total_votes_2026,Flipped?,winning_party_alliance_2021,winning_party_alliance_2026
43,Vellore,North,Vellore,DMK,Karthikeyan .P,TVK,M.M.VINOTH KANNAN,84299,73032,Yes,DMK+,TVK
44,Anaikattu,North,Vellore,DMK,A.P.Nandakumar,AIADMK,D.VELAZHAGAN,95159,76302,Yes,DMK+,AIADMK+
45,Kilvaithinankuppam,North,Vellore,AIADMK,M.JAGAN MOORTHY,TVK,THENRAL KUMAR. E,84579,74305,Yes,AIADMK+,TVK
46,Gudiyatham,North,Vellore,DMK,Amulu.V,TVK,K.SINDU,100412,82858,Yes,DMK+,TVK
47,Vaniayambadi,North,Vellore,AIADMK,G.SENDHIL KUMAR,IUML,SYED FAROOQ BASHA SSB,88018,73181,Yes,AIADMK+,DMK+
48,Ambur,North,Vellore,DMK,VILWANATHAN.A.C,DMK,VILWANATHAN. A.C.,90476,74102,No,DMK+,DMK+
49,Jolarpet,North,Vellore,DMK,DEVARAJI.K.,AIADMK,VEERAMANI K.C.,89490,78633,Yes,DMK+,AIADMK+
50,Tiruppattur,North,Vellore,DMK,A. NALLATHAMBI,TVK,DR.THIRUPATHI. N,96522,105098,Yes,DMK+,TVK
51,Uthangarai,North,Krishnagiri,AIADMK,T.M.TAMILSELVAM,TVK,N ELAIYARAJA,99675,70201,Yes,AIADMK+,TVK
52,Bargur,North,Krishnagiri,DMK,MATHIAZHAGAN D,AIADMK,E.C. GOVINDARASAN,97256,71240,Yes,DMK+,AIADMK+
53,Krishnagiri,North,Krishnagiri,AIADMK,Ashokkumar.K,TVK,MUKUNDHAN.P,96050,89374,Yes,AIADMK+,TVK
54,Veppanahalli,North,Krishnagiri,AIADMK,K.P.Munusamy,DMK,SRINIVASAN.P.S,94104,74691,Yes,AIADMK+,DMK+
55,Hosur,North,Krishnagiri,DMK,PRAKAASH Y,AIADMK,BALAKRISHNAREDDY. P,118231,109867,Yes,DMK+,AIADMK+
56,Thalli,North,Krishnagiri,CPI,RAMACHANDRAN.T,CPI,RAMACHANDRAN. T,120641,78283,No,DMK+,DMK+
57,Palacode,North,Dharmapuri,AIADMK,ANBALAGAN.K.P.,AIADMK,ANBALAGAN. K.P.,110070,102807,No,AIADMK+,AIADMK+
58,Pennagaram,North,Dharmapuri,PMK,MANI. G.K,TVK,GAJENDRAN. S.,106123,81240,Yes,AIADMK+,TVK
