ac_number,constituency,region,district,winning_party_2021,winning_candidate_2021,winning_party_2026,winning_candidate_2026,total_votes_2021,total_votes_2026,Flipped?,winning_party_alliance_2021,winning_party_alliance_2026
183,Arantangi,Delta,Pudukkottai,INC,RAMACHANDRAN T,TVK,MOHAMED FARVAS. J,81835,73244,Yes,DMK+,TVK
184,Karaikudi,South,Sivaganga,INC,S.Mangudi,TVK,DR.PRABHU. TK,75954,101358,Yes,DMK+,TVK
185,Tiruppattur,South,Sivaganga,DMK,KR.PERIYAKARUPPAN,TVK,SEENIVASA SETHUPATHY. R,103682,83375,Yes,DMK+,TVK
186,Sivaganga,South,Sivaganga,AIADMK,PR. Senthilnathan,TVK,KULANTHAI RANI A,82153,73737,Yes,AIADMK+,TVK
187,Manamadurai,South,Sivaganga,DMK,Tamilarasi A.,TVK,ELANGOVAN.D,89364,69971,Yes,DMK+,TVK
188,Melur,South,Madurai,AIADMK,PERIYAPULLAN @ SELVAM  P.,INC,P.VISWANATHAN,83344,60080,Yes,AIADMK+,DMK+
189,Madurai East,South,Madurai,DMK,MOORTHY P,TVK,KARTHIKEYAN S,122729,118777,Yes,DMK+,TVK
190,Sholavandan,South,Madurai,DMK,VENKATESAN A,TVK,KARUPPAIAH.M.V,84240,63907,Yes,DMK+,TVK
191,Madurai North,South,Madurai,DMK,THALAPATHI G,TVK,A.KALLANAI,73010,72853,Yes,DMK+,TVK
192,Madurai South,South,Madurai,DMK,BOOMINATHAN.M,TVK,M.M.GOPISON,62812,62415,Yes,DMK+,TVK
193,Madurai Central,South,Madurai,DMK,PALANIVEL THIAGA RAJAN,TVK,MADHAR BADHURUDEEN,73205,63414,Yes,DMK+,TVK
194,Madurai West,South,Madurai,AIADMK,RAJU. K,TVK,THANGAPANDI SR,83883,88250,Yes,AIADMK+,TVK
195,Thiruparankundram,South,Madurai,AIADMK,"RAJANCHELLAPPA, V.V.",TVK,NIRMALKUMAR. R.,103683,114316,Yes,AIADMK+,TVK
196,Thirumangalam,South,Madurai,AIADMK,UDHAYAKUMAR R B,DMK,MANIMARAN.M,100338,88291,Yes,AIADMK+,DMK+
197,Usilampatti,South,Madurai,AIADMK,AYYAPPAN P,TVK,VIJAY. M,71255,65743,Yes,AIADMK+,TVK
198,Andipatti,South,Theni,DMK,A.MAHARAJAN,DMK,MAHARAJAN.A,93541,74324,No,DMK+,DMK+
199,Periyakulam,South,Theni,DMK,K.S.SARAVANAKUMAAR,TVK,SABARI IYNGARAN G.,92251,85656,Yes,DMK+,TVK
200,Bodinayakanur,South,Theni,AIADMK,O.PANNEERSELVAM,DMK,PANNEERSELVAM.O,100050,85206,Yes,AIADMK+,DMK+
201,Cumbum,South,Theni,DMK,N.Ramakrishnan,TVK,JEGANATHMISHRA PLA,104800,85394,Yes,DMK+,TVK
202,Rajapalayam,South,Virudhunagar,DMK,THANGAPANDIAN S.,TVK,JEGADESHWARI. K,74158,65548,Yes,DMK+,TVK
203,Srivilliputhur,South,Virudhunagar,AIADMK,"MANRAJ, E.M.",TVK,KARTHIK.A,70475,65653,Yes,AIADMK+,TVK
204,Sattur,South,Virudhunagar,DMK,"RAGHURAMAN,  A.R.R.",DMK,KADARKARAIRAJ. A,74174,62060,No,DMK+,DMK+
205,Sivakasi,South,Virudhunagar,INC,Ashokan.G,TVK,KEERTHANA S,78947,68709,Yes,DMK+,TVK
206,Virudhunagar,South,Virudhunagar,DMK,SEENIVASAN A.R.R,TVK,SELVAM P,73297,63653,Yes,DMK+,TVK
207,Aruppukottai,South,Virudhunagar,DMK,K.K.S.S.R.RAMACHANDRAN,DMK,RAMACHANDRAN. K.K.S.S.R,91040,65104,No,DMK+,DMK+
208,Tiruchuli,South,Virudhunagar,DMK,THANGAM THENARASU,DMK,THANGAM THENARASU,102225,75085,No,DMK+,DMK+
209,Paramakudi,South,Ramanathapuram,DMK,MURUGESAN S,DMK,ADVOCATE. KATHIRAVAN. K.K,84864,59161,No,DMK+,DMK+
210,Tiruvadanai,South,Ramanathapuram,INC,KARUMANICKAM,TVK,RAJEEV,79364,69551,Yes,DMK+,TVK
211,Ramanathapuram,South,Ramanathapuram,DMK,KATHARBATCHA MUTHURAMALINGAM,DMK,KATHARBATCHA MUTHURAMALINGAM,111082,89137,No,DMK+,DMK+
212,Mudukulathur,South,Ramanathapuram,DMK,R.S.RAJAKANNAPPAN,DMK,R.S.RAJAKANNAPPAN,101901,68003,No,DMK+,DMK+
213,Vilathikulam,South,Thoothukudi,DMK,MARKANDAYAN V,DMK,MARKANDAYAN G V,90348,58395,No,DMK+,DMK+
214,Thoothukkudi,South,Thoothukudi,DMK,P.Geetha Jeevan,TVK,SRINATH,92314,100536,Yes,DMK+,TVK
215,Tiruchendur,South,Thoothukudi,DMK,Anitha R. Radhakrishnan,DMK,ANITHA R. RADHAKRISHNAN,88274,72723,No,DMK+,DMK+
216,Srivaikuntam,South,Thoothukudi,INC,Amirtharaj .S,TVK,SARAVANAN. G,76843,58814,Yes,DMK+,TVK
217,Ottapidaram,South,Thoothukudi,DMK,SHUNMUGAIAH C,TVK,P .MATHANRAJA,73110,81625,Yes,DMK+,TVK
218,Kovilpatti,South,Thoothukudi,AIADMK,KADAMBUR RAJU,DMK,KARUNANITHI.K,68556,61643,Yes,AIADMK+,DMK+
219,Sankarankovil,South,Tirunelveli,DMK,RAJA E,AIADMK,DR. DHILIPAN JAISHANKAR,71347,64865,Yes,DMK+,AIADMK+
220,Vasudevanallur,South,Tirunelveli,DMK,"SADHAN THIRUMALAIKUMAR, DOCTOR.T",DMK,E. RAJA,68730,63045,No,DMK+,DMK+
221,Kadayanallur,South,Tirunelveli,AIADMK,C.KRISHNAMURALI,DMK,RAJENDRAN. T. M,88474,79832,Yes,AIADMK+,DMK+
222,Tenkasi,South,Tirunelveli,INC,PALANI NADAR.S,DMK,DR.KALAI KATHIRAVAN,89315,79699,Yes,DMK+,DMK+
223,Alangulam,South,Tirunelveli,AIADMK,PAUL MANOJ PANDIAN,DMK,PAUL MANOJ PANDIAN,74153,69170,Yes,AIADMK+,DMK+
224,Tirunelveli,South,Tirunelveli,BJP,Nainar Nagenthran,TVK,MURUGHAN.R.S.,92282,75840,Yes,AIADMK+,TVK
225,Ambasamudram,South,Tirunelveli,AIADMK,E.SUBAYA,AIADMK,DR.ESAKKI SUBAYA,85211,65589,No,AIADMK+,AIADMK+
226,Palayamcottai,South,Tirunelveli,DMK,ABDUL WAHAB .M,DMK,M.ABDUL WAHAB,89117,79744,No,DMK+,DMK+
227,Nanguneri,South,Tirunelveli,INC,RUBY R MANOHARAN,TVK,REDDIARPATTI V. NARAYANAN,75902,74952,Yes,DMK+,TVK
228,Radhapuram,South,Tirunelveli,DMK,M.Appavu,TVK,DR.SATHISH CHRISTOPHER,82331,69947,Yes,DMK+,TVK
229,Kanniyakumari,South,Kanniyakumari,AIADMK,THALAVAI SUNDARAM N.,AIADMK,THALAVAI SUNDARAM. N,109745,75045,No,AIADMK+,AIADMK+
230,Nagercoil,South,Kanniyakumari,BJP,Gandhi M.R.,DMK,AUSTIN,88804,69880,Yes,AIADMK+,DMK+
231,Colachel,South,Kanniyakumari,INC,Prince J.G.,INC,THARAHAI CUTHBERT,90681,66207,No,DMK+,DMK+
232,Padmanabhapuram,South,Kanniyakumari,DMK,"Mano Thangaraj, T.",CPI(M),CHELLASWAMY. R,87744,68938,Yes,DMK+,DMK+
233,Vilavancode,South,Kanniyakumari,INC,VIJAYADHARANI S,INC,PRAVEEN T.T,87473,70755,No,DMK+,DMK+
234,Killiyoor,South,Kanniyakumari,INC,RAJESH KUMAR  S,INC,RAJESH KUMAR. S,101541,66434,No,DMK+,DMK+
