region,alliance,no_seats_2021,no_seats_2026,net_change
Central,AIADMK+,18,18,0
Central,DMK+,23,11,-12
Central,TVK,0,12,12
Chennai Metro,AIADMK+,0,1,1
Chennai Metro,DMK+,32,2,-30
Chennai Metro,TVK,0,29,29
Delta,AIADMK+,4,5,1
Delta,DMK+,29,18,-11
Delta,TVK,0,10,10
Kongu,AIADMK+,21,8,-13
Kongu,DMK+,12,9,-3
Kongu,TVK,0,16,16
North,AIADMK+,14,16,2
North,DMK+,23,6,-17
North,TVK,0,15,15
South,AIADMK+,18,5,-13
South,DMK+,40,27,-13
South,TVK,0,26,26
